ensembl ID,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj
ENSMUSG00000000001,-0.004248807004926573,0.9813569492387442,0.9984847337103957
ENSMUSG00000000003,,,
ENSMUSG00000000028,0.04885237416311751,0.9086332584517761,0.9915306140522955
ENSMUSG00000000031,-6.0602550010517096,0.00011266987644709772,0.010767530326557088
ENSMUSG00000000037,-0.6453449656195577,0.673700088941086,
ENSMUSG00000000049,3.2722507203195135,0.4628570601920321,
ENSMUSG00000000056,-0.04185106144206497,0.8499978331894187,0.9864009291293862
ENSMUSG00000000058,0.270667829821178,0.19667732404584393,0.7704295155086723
ENSMUSG00000000078,0.0795390615864929,0.6674416381773812,0.9580081636905622
ENSMUSG00000000085,-0.27433660780207736,0.176924163967061,0.7493670739142578
ENSMUSG00000000088,0.39423361431361453,0.40334253217218585,0.8895500420038552
ENSMUSG00000000093,-0.39063431491766887,0.34128216057475314,0.8653223973030939
ENSMUSG00000000094,0.2214829963697719,0.491818572953755,0.9159068924001958
ENSMUSG00000000103,,,
ENSMUSG00000000120,-0.46539460863435916,0.6387573690033702,0.955226802383994
ENSMUSG00000000125,-0.19940860793414858,0.9000776199017794,
ENSMUSG00000000126,-0.10885636355694442,0.8949939015154789,0.9893980957684074
ENSMUSG00000000127,0.046713820734813304,0.8340333786718753,0.9832377992961233
ENSMUSG00000000131,-0.5774277350477729,0.005417786727190117,0.15439001123472332
ENSMUSG00000000134,-0.16249961976909705,0.46773476773609735,0.9075785546566154
ENSMUSG00000000142,0.14677268818036102,0.577195592342378,0.9432106337230004
ENSMUSG00000000148,0.10666553334824284,0.7672597062746112,0.9747861496753919
ENSMUSG00000000149,-0.5651110704077108,0.005258606889588936,0.1515039444494989
ENSMUSG00000000154,0.9229156022197895,0.18229218555103532,0.7539071250220883
ENSMUSG00000000157,0.5034064582595239,0.43928336197255735,0.9008696265942449
ENSMUSG00000000159,0.3997839967275597,0.19147984282757669,0.7642504074792453
ENSMUSG00000000167,-0.27689470953539985,0.7183945613669344,0.9665950774164787
ENSMUSG00000000168,-0.2071340647905405,0.3060466196083699,0.8501266674079752
ENSMUSG00000000171,0.3825583631075916,0.053174904205191276,0.499646447007172
ENSMUSG00000000182,-0.7194675749410498,0.8854514165749542,
ENSMUSG00000000183,,,
ENSMUSG00000000184,0.0015275468087840884,0.9949274914080455,0.9999162979924019
ENSMUSG00000000194,-0.18510264720695946,0.42219924162928435,0.8968475297230027
ENSMUSG00000000197,-0.010198854396891603,0.9908810751644265,0.9998391924665905
ENSMUSG00000000202,-3.3507509865379506,0.3544793255628308,
ENSMUSG00000000204,-1.223360516322755,0.6979526114753917,
ENSMUSG00000000214,1.8253818601244312,0.37284286854663995,
ENSMUSG00000000215,2.684989346296375,0.5684245422839671,
ENSMUSG00000000216,,,
ENSMUSG00000000223,-0.7063890614643743,0.7850776390404611,
ENSMUSG00000000244,0.018325910043401266,0.9860706732816601,0.999278483976634
ENSMUSG00000000247,-0.26105743632757444,0.9031438854718228,
ENSMUSG00000000248,1.6842721581473203,0.7265891434372282,
ENSMUSG00000000253,0.2914671793235759,0.39114120134397834,0.8838145282328077
ENSMUSG00000000263,-0.1289682154175788,0.8761031210513892,0.9881537248865794
ENSMUSG00000000266,0.16495561472388695,0.4409132185316269,0.9008696265942449
ENSMUSG00000000275,-0.28076481197928194,0.21974383082114834,0.79301060567807
ENSMUSG00000000276,-0.048401117228295334,0.8434295871288087,0.985394850471101
ENSMUSG00000000278,-0.13106159546814444,0.6362113576609576,0.955226802383994
ENSMUSG00000000282,-0.23030592201171077,0.37997676861999385,0.8804550231341977
ENSMUSG00000000290,-1.3698658933762273,0.02377497572611104,0.3406573072784893
ENSMUSG00000000295,0.011065989108489396,0.9794598856460244,0.9984847337103957
ENSMUSG00000000296,0.49316625658700025,0.03632301508675895,0.42263594317355085
ENSMUSG00000000301,0.30192517846567807,0.7440979883763827,0.9699612514878772
ENSMUSG00000000303,-1.6250236865088776,0.020547393607790468,0.31572480393617647
ENSMUSG00000000305,-0.3624057695280424,0.3652578928114517,0.876850840039789
ENSMUSG00000000308,-2.6096178117640902,0.5066177463028789,
ENSMUSG00000000317,0.05829035229227952,0.8503303172186758,0.9864009291293862
ENSMUSG00000000318,0.4675475037084394,0.8306295822765204,
ENSMUSG00000000320,0.6589757307339763,0.007463159263543787,0.19206912173648896
ENSMUSG00000000325,0.1042207047491647,0.7906192401396641,0.9755452173444303
ENSMUSG00000000326,0.13510003420042768,0.552205730742699,0.9359701149193939
ENSMUSG00000000339,0.27083014583168974,0.4330606183293605,0.9008382388120837
ENSMUSG00000000340,0.11779995220818211,0.673914713023753,0.9585673863122252
ENSMUSG00000000346,0.13290678557752103,0.4604092461712296,0.9067597531090326
ENSMUSG00000000355,0.21743944845972035,0.49471070504558967,0.9173687742758551
ENSMUSG00000000359,0.10190102583751717,0.7734628980880766,0.9747861496753919
ENSMUSG00000000365,-2.9253775188161772,0.1892472617173646,
ENSMUSG00000000374,-0.20713401773982737,0.3706296028176238,0.8788116726540293
ENSMUSG00000000378,0.23982524890948442,0.30419228323839564,0.8492637792014649
ENSMUSG00000000381,0.4170520364357335,0.803389628389934,
ENSMUSG00000000384,0.21711936850627225,0.39673989589905856,0.8857330796959522
ENSMUSG00000000385,-0.09318815631087482,0.8495221072867275,0.9864009291293862
ENSMUSG00000000386,-0.7843286744362499,0.40225959479473994,0.8886980292968005
ENSMUSG00000000392,0.0009034138282429778,0.9983535071465852,0.9999260987320197
ENSMUSG00000000394,,,
ENSMUSG00000000399,0.23866844571270843,0.415250472629222,0.895832162080908
ENSMUSG00000000402,-0.7194675749410498,0.8854514165749542,
ENSMUSG00000000409,-0.2589324738805613,0.840438119972381,
ENSMUSG00000000411,-0.6561541117420656,0.48689688283177557,0.91313813454341
ENSMUSG00000000416,-0.5321579394853916,0.03611978917614622,0.4211529170141439
ENSMUSG00000000420,-0.17376168217203197,0.4010056919110443,0.8877355783487685
ENSMUSG00000000435,1.6867564897333156,0.7261817702390279,
ENSMUSG00000000439,-0.06642266970582289,0.8175969265409163,0.9818707526194739
ENSMUSG00000000440,1.0170482862086605,0.3892405637695667,
ENSMUSG00000000441,-0.023526844200513094,0.9098081661277295,0.9915306140522955
ENSMUSG00000000486,1.1207017577397689,0.09920864417767938,0.6377849089500439
