Geneid,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj
ENSMUSG00000090025,,,
ENSMUSG00000064842,,,
ENSMUSG00000051951,-3.2774531206869804,0.08062825558517973,
ENSMUSG00000089699,1.6635982287241755,0.7298167695889521,
ENSMUSG00000088390,,,
ENSMUSG00000089420,,,
ENSMUSG00000025900,-0.03581346481126759,0.9462228613593902,0.9945462215581503
ENSMUSG00000025902,0.08941186622367615,0.6604159669191307,0.9424196350501567
ENSMUSG00000064376,0.6282324067102417,0.7996672002563481,
ENSMUSG00000088000,,,
ENSMUSG00000033845,0.24062742959329053,0.3137608420320782,0.8045731058360177
ENSMUSG00000025903,0.12033999149405626,0.5315012914701834,0.9049086013960298
ENSMUSG00000033813,0.1364894486447053,0.4857060809002032,0.8868053138298764
ENSMUSG00000062588,-0.3300791087955173,0.28643980347887654,0.7859183939645366
ENSMUSG00000002459,-0.472660366779117,0.5729841912209945,0.9180171020380553
ENSMUSG00000091305,0.9194381015501857,0.047828032676477054,0.4079798949883523
ENSMUSG00000085623,-0.14425045610125697,0.9662430761072123,
ENSMUSG00000091665,-1.7421593050770814,0.7219595408859542,
ENSMUSG00000033793,0.1660498600348892,0.40388539590682015,0.8566406405869085
ENSMUSG00000025905,,,
ENSMUSG00000093015,-0.7391803697121654,0.8823336947124101,
ENSMUSG00000033774,,,
ENSMUSG00000025907,0.006237909542477227,0.9802247392054358,0.9976929026751785
ENSMUSG00000090031,0.5269176170273114,0.5173381434372466,0.8987005468944277
ENSMUSG00000073741,-3.2227628313522487,0.4150386671141624,
ENSMUSG00000087247,,,
ENSMUSG00000033740,2.6600511558445827,0.5720487840061979,
ENSMUSG00000051285,0.15573221257337658,0.4687204182375956,0.8799293159189662
ENSMUSG00000048538,0.08262182127187402,0.8988888930377795,0.9851803370083705
ENSMUSG00000077244,,,
ENSMUSG00000086461,-0.6678531652442334,0.8456268741334398,
ENSMUSG00000025909,,,
ENSMUSG00000086235,-0.3759103911587861,0.18751520367662522,0.6925200482353343
ENSMUSG00000076169,,,
ENSMUSG00000084353,-0.840203754786855,0.10884126047980086,0.5831356626630366
ENSMUSG00000076135,-0.1449228330900289,0.8425333349808539,0.9786199683202736
ENSMUSG00000086195,,,
ENSMUSG00000066693,0.16551929888013872,0.9243459296531309,
ENSMUSG00000065625,,,
ENSMUSG00000061024,-0.04468179940031037,0.9060019281594656,0.9860415834806426
ENSMUSG00000025911,-0.8788195077606223,0.14913814964697827,0.6414228895365772
ENSMUSG00000079671,-0.8813087576475649,0.3109972933284292,0.8033512390899613
ENSMUSG00000081441,0.2863523415762406,0.32451911950840817,0.8116945214110063
ENSMUSG00000067879,0.041881254243493475,0.9712602973402296,
ENSMUSG00000025912,-0.14963483468167582,0.6801340867474659,0.9473867053427932
ENSMUSG00000045210,-0.2912472625294468,0.13607903529921186,0.623974522095458
ENSMUSG00000085661,-1.152307112443859,0.5562548521829269,
ENSMUSG00000025915,0.2676656685538941,0.22943713609656513,0.7380949378200822
ENSMUSG00000046334,0.21916946699115497,0.4521391484029278,0.8752639467887873
ENSMUSG00000088916,-2.689400089001741,0.575266090991968,
ENSMUSG00000046101,-0.3217598795946547,0.35683191622378796,0.8317598770662337
ENSMUSG00000093178,0.5891811355039202,0.6542991188030234,
ENSMUSG00000073738,-0.7785998078332951,0.36894160475389504,0.8380699383849254
ENSMUSG00000025916,-0.82525239107796,0.7837668185816911,
ENSMUSG00000087199,,,
ENSMUSG00000065085,-2.7492992588190797,0.5704859936100481,
ENSMUSG00000025917,0.3897202355511656,0.05644455853729888,0.4447790292352355
ENSMUSG00000056763,-0.013014545815605363,0.9542865713405505,0.9952539191322117
ENSMUSG00000067851,-0.04399298739678173,0.823837683548939,0.9750601170284955
ENSMUSG00000088153,0.799694289566449,0.3918793564295795,0.8476983734725592
ENSMUSG00000042501,,,
ENSMUSG00000083422,-0.45463345878661626,0.5994162483092571,0.9278559682431635
ENSMUSG00000065035,,,
ENSMUSG00000081417,,,
ENSMUSG00000088585,,,
ENSMUSG00000048960,-0.13083389235541096,0.6029299471950407,0.9290302648706351
ENSMUSG00000077318,-0.12683876828716184,0.9121446042180675,0.9867721567915126
ENSMUSG00000057715,0.14741652793754606,0.9134906139873742,
ENSMUSG00000064969,,,
ENSMUSG00000066918,3.6707412876307135,0.4300269808127045,
ENSMUSG00000016918,-1.3347633285183405,0.0006393672998861824,0.02717180276965301
ENSMUSG00000025938,-0.6913377894603951,0.020755354173205134,0.26619200916387203
ENSMUSG00000042414,-2.7368863553861047,0.06378141327307861,
ENSMUSG00000005886,-0.3421774860908901,0.07136050173165981,0.48756350600477644
ENSMUSG00000087782,-0.7173540289091717,0.6958860308391066,
ENSMUSG00000025935,0.24208409886876128,0.2227477397180735,0.7313207365370995
ENSMUSG00000025937,0.3037801149934348,0.14699127115379,0.6394547366815632
ENSMUSG00000067813,,,
ENSMUSG00000077368,,,
ENSMUSG00000089358,,,
ENSMUSG00000025932,-1.1281331480883008,0.09801508176069378,0.5614559574770176
ENSMUSG00000093057,,,
ENSMUSG00000025930,-0.7992057870347027,0.3504923896709262,0.8276188932473969
ENSMUSG00000054493,,,
ENSMUSG00000081201,0.2910646547274613,0.21436598961179498,0.7222733938676259
