gene,SRR5292044,SRR5292039,SRR5292051,SRR5292041,SRR5292047,SRR5292053,SRR5292052,SRR5292042,SRR5292046,SRR5292049,SRR5292045,SRR5292050,SRR5292043,SRR5292040,SRR5292054,SRR5292048
ENSMUSG00000000001,174.70649153988478,121.25736934062472,126.47160178641138,150.1910583644244,144.74474937979792,159.01258256195425,178.60600754209077,163.28360929989262,114.68894408975707,111.20726800531622,117.8223573552714,142.5722770707434,186.26935369215565,161.13236265926236,146.78621946743536,127.37381926147651
ENSMUSG00000000056,29.656582371717096,37.9647028241956,18.998475268353463,26.869812901574253,29.985786501553576,22.238716256853024,23.16391906689232,32.21118398799504,23.067747961395895,18.14257544497606,23.195315260019484,24.880020977272586,25.776025984083592,26.86545574498754,24.936903834019965,26.957994896819088
ENSMUSG00000000058,86.73151448332358,136.11899678070128,111.49470157486266,118.45109187443983,125.89317436899802,136.7162530505498,150.8363969648222,113.4315338941732,107.9310686306439,88.97701352489803,129.9429862842471,129.94932525139188,71.89546261031388,135.29322769554398,149.75029589215094,96.24762033442639
ENSMUSG00000000078,1346.7943130736599,1044.2995390733802,1112.4508657133686,1345.3939234925742,1044.3183444264052,1260.6932360944504,1368.0935708542631,1059.6576414742294,1085.808643478663,855.4448304719114,840.1995363151885,1213.3888661906126,1238.3473290604466,1639.336146740206,900.5637415614033,958.6869269531446
ENSMUSG00000000085,43.08597816268333,57.14971279229444,50.06167570712117,52.060262496800114,65.50922316252962,59.34165218797569,55.81014418455927,64.54278361706669,43.276394767013144,52.74785823817114,43.80653704279542,54.57749699671316,38.31727629472516,53.73091148997508,53.80443075298882,59.70816942006316
ENSMUSG00000000088,31.459603102911636,34.451954520177495,29.329762914282902,37.95361072347363,34.58085791043605,33.87659367624243,30.952956180028625,43.47004642865873,47.88994435929232,33.76534874481656,44.60637550003747,34.271009287321554,27.220870489917875,37.1286635576794,41.69037927806439,32.75017452324407
ENSMUSG00000000094,6.279485994849951,11.686643396060209,5.893687583248337,9.404434515550989,8.71885344249495,9.160507473677802,6.434421963025644,8.730133978054731,11.501384194836827,5.319582306397302,7.506176291040788,7.317653228609585,5.028058880303301,8.753912546119535,10.180958154457766,10.88063649449927
ENSMUSG00000000127,37.61474284043783,39.92373553220569,33.00465046619069,37.505780508447394,39.17592931931853,39.695532385937135,40.977108290847525,38.23196604182589,33.074602006621156,31.02156418678005,33.53168916899369,36.9541488044784,34.84964948072288,41.233946682756155,46.97416768733994,34.265885079691735
ENSMUSG00000000131,40.972091788179384,36.47854008018793,32.58862546031433,45.28683049452827,47.89478276181347,48.27990731410061,45.51506904371824,44.91503412157813,29.240807275008883,38.86094863831292,28.855710495886306,41.954545177361624,35.71655618422346,38.0946125282857,42.91467171435995,47.31182236911623
ENSMUSG00000000134,27.54269599721315,21.68446549211172,18.85980026639468,24.406746718929945,26.627849702754844,29.728439348539275,26.482726184663438,26.67206449847066,19.23395322978362,20.270408367534984,18.45781055173964,24.69707964655735,24.677944159649538,24.993929614437846,28.93196336298441,22.140200628110453
ENSMUSG00000000142,31.148737459602234,70.39007178436266,57.758138315833705,56.25867076267109,39.82395221031477,75.07007068051682,73.62333340851447,47.02230784041893,56.14234996801706,36.00517287382595,40.976339424862005,81.40889216828164,25.71823220385022,52.463103466054314,70.55790619703325,59.11271170145872
ENSMUSG00000000149,44.453786993244705,29.18283206415035,27.249637884901137,48.25370566907709,51.78292010779095,37.85190824029129,43.076761773519046,50.69498489325575,35.73876444723307,46.75632869307102,29.717074988300823,40.00317098306573,42.65180981222801,37.1890353683423,34.086878884228845,54.673845071862004
ENSMUSG00000000159,11.253336287800408,20.738725564106847,8.944537626341594,15.953951410309712,19.146130870343637,10.888905110220781,9.956421353313365,18.724632187413942,15.790035928504796,9.183278928938499,18.950018833119366,12.135108270777561,11.154199585040658,18.292658630856685,10.760886150597765,11.313696653484316
ENSMUSG00000000168,25.05577085073792,25.332319500130513,24.961500352581194,33.251393465698136,35.05214728570605,33.9918201853453,32.98487890519462,36.1849001435234,27.94121584056404,27.717823596491204,26.21009098347029,37.13709013519364,33.924948996988945,28.978469118188805,32.60484067187107,34.64481271880365
ENSMUSG00000000171,28.226600412493838,36.1407758201862,26.140237869230862,27.765473331626726,33.75610150371356,25.34983200263039,27.837341334774102,36.00427668190848,40.35231403951226,27.10187196101362,35.06984004830532,34.57591150518029,30.283940842286555,28.012520147582514,36.922082420913284,30.855536327684497
ENSMUSG00000000184,42.58859313338829,32.830686072169144,37.44225052887179,39.12916503791751,43.888823072018496,45.16879156832324,32.91714814768908,68.0348372082886,36.58349887962222,22.454236893319134,28.363502214506582,39.08846432948953,46.2928179669304,40.871715818778796,42.785798826328836,37.78449887144523
ENSMUSG00000000194,26.112714037989896,37.22162145219176,25.100175354539978,33.3633510194547,38.70463994404852,32.14819603969945,32.84941739018355,40.21882411959007,26.83656312128593,25.19802145135564,26.456195124160153,31.161006665162482,25.48705708291674,28.978469118188805,34.34462466029107,34.15762003994547
ENSMUSG00000000266,20.579305587082512,24.521685276126334,20.662575291858875,30.452454621784153,27.806073140929836,25.98357780269615,27.498687547246437,28.3578834735433,23.262686676562623,22.062267670742493,23.93362768208907,26.58747339728149,23.811037456148966,27.408802040953578,25.259086054097747,22.19433314798359
ENSMUSG00000000275,152.51068460759336,98.22184680850604,149.56098961254898,120.80220050332758,143.62543711353166,180.84800603694725,149.95589711725026,160.69467301674536,87.00764653608198,72.1783325573276,85.27508474903715,133.18128876069446,85.18803206398928,211.96542723741854,117.46763744035762,112.59564133611185
ENSMUSG00000000276,42.215554361417,50.664639000261026,43.47461311407891,44.67106394886719,50.07449612243721,54.21407253289818,46.19237661877357,44.55378719834828,35.1539483017329,26.541915928761274,36.361886786927094,48.23553086525151,31.7865791283542,47.09001231705681,54.835413857237704,40.92418502408681
ENSMUSG00000000278,13.056357018994948,7.295708016037588,13.936837696857832,14.106651773326483,12.901546648016176,15.382738965232534,13.817074531128752,15.413202057806972,9.487017471447325,11.703081074074063,10.397899944146666,16.159817546512834,15.141970421143277,9.780233327388723,18.04220432435553,11.800889332342491
ENSMUSG00000000282,13.802434562937515,9.592504984049421,16.294312730157166,24.518704272686506,20.50108782424488,21.25929092947867,18.829150586538198,22.999387445633843,11.111506764503376,12.934984345029228,13.843357913804732,22.257861903687488,15.141970421143277,21.552736406652926,15.464746563733312,14.074455167013982
ENSMUSG00000000296,19.335843013844897,41.27479257221265,13.104787685105126,22.223574420677036,31.870944002633568,15.613191983438263,29.59834102991796,23.300426548325387,33.52945900867685,30.685590567428648,43.37585479658816,30.246300011586285,7.513191430338267,36.40420182972469,40.20834106570661,25.06335670125951
ENSMUSG00000000317,214.6838132694741,121.59513360062645,102.68883895047985,102.49714046413011,131.25409101269423,132.85616499560382,124.08274775013662,154.43305968076126,68.81336645385423,47.48427153499907,101.27185389387817,98.97125991694465,162.80507891740692,144.4093711056409,98.33001356773765,75.78552782238297
ENSMUSG00000000320,12.683318247023662,30.061019140154873,31.895250450520415,25.750237364008658,19.440686729887386,32.66671533066234,37.11645511303214,18.06234616149255,22.742850102784686,13.214962361155402,26.88687737036741,47.4427850988188,8.264510573372094,22.277198134607644,59.66814715840437,17.430671399148085
ENSMUSG00000000326,21.20103687370132,28.84506780414861,27.526987888818702,30.50843339866243,28.100629000473585,27.711975439239133,28.785571939851565,32.75305437283982,37.03835588167792,31.973489441609047,28.794184460713844,34.39297017446505,27.105282929451132,23.182775294551046,32.927022891948845,36.10639075537817
ENSMUSG00000000339,23.563615762852788,21.41425408411033,19.691850278147385,23.73500139639059,25.331803920762354,27.827201948341997,30.072456332456696,28.839546037849765,26.576644834396962,21.1103424159135,25.471778561400708,26.03864940513577,27.567633171318104,21.975339081293182,26.61225137842441,22.302598187729846
ENSMUSG00000000340,10.196393100548436,6.687732348034455,5.130975072475023,10.691946383751421,7.540630004319956,6.337458000657597,6.908537265564376,12.161979748738315,9.55199704316957,9.29527013538897,8.059910607592977,8.110398995042289,11.616549826907628,5.856065634300655,8.054555501944435,7.470287742492037
