ensembl ID,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj
ENSMUSG00000000001,-0.29846175174592404,0.10659532662976766,0.4890089943317435
ENSMUSG00000000003,,,
ENSMUSG00000000028,-0.18374981197573603,0.5519132266723712,0.8866780359299679
ENSMUSG00000000031,-4.634976185334009,0.0002651137525509414,0.008237233952747093
ENSMUSG00000000037,-0.06832712137208695,0.9467047573564527,
ENSMUSG00000000049,-0.9599977791574665,0.8282856423440546,
ENSMUSG00000000056,0.01610762321269563,0.9356954159706351,0.9875156440800288
ENSMUSG00000000058,0.49615562657121515,0.00447380310787216,0.06992917918825765
ENSMUSG00000000078,0.10540399474335709,0.6192148610898003,0.9104250807293853
ENSMUSG00000000085,0.15690427699607348,0.4024034598271272,0.8158148764189231
ENSMUSG00000000088,0.6902352121582397,0.11641652030321821,0.5115488656394801
ENSMUSG00000000093,-0.04976152531824484,0.9616729186496904,0.9946717541075362
ENSMUSG00000000094,0.46790894458619753,0.06211485191235394,0.37145983035362307
ENSMUSG00000000103,,,
ENSMUSG00000000120,0.8290100932734729,0.31815460408846163,
ENSMUSG00000000125,0.5497033995874422,0.7603341948311315,
ENSMUSG00000000126,-0.6234773160680505,0.3455233905368805,0.7795442196734957
ENSMUSG00000000127,0.14913659539399649,0.4460556966878474,0.8414004312685087
ENSMUSG00000000131,-0.0325147767839874,0.8622146668842259,0.9746852031666211
ENSMUSG00000000134,-0.07575163543237327,0.6730682424636681,0.9258831888138228
ENSMUSG00000000142,0.8205240301502142,0.0002934676814361802,0.008920375618566023
ENSMUSG00000000148,0.5271081011506817,0.04942953108616091,0.3280613710460059
ENSMUSG00000000149,-0.3355598273431413,0.10065080328552559,0.472653392173707
ENSMUSG00000000154,0.6633205488881321,0.24596824497376701,0.6998378365867701
ENSMUSG00000000157,0.31093680817900055,0.45208132578291305,0.8436130470818543
ENSMUSG00000000159,0.48756752572591394,0.029780902261960545,0.2427041167419746
ENSMUSG00000000167,0.804846899997629,0.08932955928751826,0.4470468198098274
ENSMUSG00000000168,-0.22418900062670885,0.25335897684531894,0.7049191441634474
ENSMUSG00000000171,-0.05111103804342567,0.7769655502089866,0.9536410460422569
ENSMUSG00000000182,-0.9599977791574656,0.8282856423440548,
ENSMUSG00000000183,,,
ENSMUSG00000000184,-0.4793019641259028,0.01638430231584577,0.16980395628076606
ENSMUSG00000000194,0.15678776740792816,0.42635706739211965,0.8316332187424671
ENSMUSG00000000197,-0.7754052768661783,0.4935382858774764,
ENSMUSG00000000202,3.45168225083872,0.2759430746992485,
ENSMUSG00000000204,-2.356791214919013,0.02411432835188518,0.2149547219216961
ENSMUSG00000000214,-0.67537903412512,0.6494798569875178,
ENSMUSG00000000215,2.3088120631397615,0.5905404507013632,
ENSMUSG00000000216,,,
ENSMUSG00000000223,0.07067394732187857,0.9779023448716889,
ENSMUSG00000000244,-0.3809984603841286,0.5814213714211354,0.8971948287745185
ENSMUSG00000000247,-0.05256283682835797,0.980384535333709,
ENSMUSG00000000248,-0.045873851835106914,0.9858590951391054,
ENSMUSG00000000253,-0.13873865686482312,0.6616705503754781,0.9225209391266828
ENSMUSG00000000263,0.2730482730320349,0.6545504761344038,0.9210443195496071
ENSMUSG00000000266,0.1824672706977354,0.3614013544819865,0.7902321614531631
ENSMUSG00000000275,0.10174564423156737,0.7248694342594426,0.9404759885513764
ENSMUSG00000000276,0.24381108170690455,0.188963870393847,0.630602470038886
ENSMUSG00000000278,-0.6083943051822334,0.011339797600014627,0.13370896772289625
ENSMUSG00000000282,-0.03480569668848872,0.9046381453266088,0.9811653499632886
ENSMUSG00000000290,0.391850996180197,0.5064443001064342,0.866596106718671
ENSMUSG00000000295,0.2821060670606791,0.33010270537074204,0.7697242700095683
ENSMUSG00000000296,1.0377585551700899,0.0015966149215283843,0.03263540724647785
ENSMUSG00000000301,-1.3608599485442912,0.05922552375365751,0.3626032337235822
ENSMUSG00000000303,-0.680407743247614,0.3314416235407073,0.7704336643665395
ENSMUSG00000000305,-1.0375018588075027,0.45880834951645355,0.8466273751743126
ENSMUSG00000000308,-0.9599977791574656,0.8282856423440548,
ENSMUSG00000000317,-0.5279637068810317,0.013283329353565144,0.14887955539475814
ENSMUSG00000000318,0.6020488563723256,0.7235833629439521,
ENSMUSG00000000320,0.9886587679555456,4.4483599212542765e-05,0.0020900510593429775
ENSMUSG00000000325,0.5414053224449559,0.1708869058595064,0.6047159830541569
ENSMUSG00000000326,0.05019321862292317,0.8109679091814255,0.9627042403631912
ENSMUSG00000000339,-0.2867638067720936,0.2797350846799732,0.7283320476437012
ENSMUSG00000000340,-0.5393136237749726,0.035362283249815774,0.2703215015689042
ENSMUSG00000000346,0.07532314641769743,0.6606539948197906,0.9222142676406007
ENSMUSG00000000355,-0.24518776103382478,0.458824009795177,0.8466273751743126
ENSMUSG00000000359,-0.13392059081494218,0.909719772207437,0.9821239374352507
ENSMUSG00000000365,0.12406237819578872,0.9406263128416811,
ENSMUSG00000000374,-0.04370796470078511,0.8367054022592113,0.9691768043451694
ENSMUSG00000000378,0.05984610365683441,0.7562854732113733,0.9494994887598827
ENSMUSG00000000381,0.5697782169735062,0.6240762417672183,
ENSMUSG00000000384,-0.30993350110814,0.1656718702993938,0.5962098127782982
ENSMUSG00000000385,0.1581900184789256,0.7303969424427685,0.9420946836278461
ENSMUSG00000000386,0.09314455684146271,0.9113689786466779,
ENSMUSG00000000392,-0.3840728677526721,0.48242344785297697,0.8579488186015632
ENSMUSG00000000394,2.8575343421905237,0.470797141799813,
ENSMUSG00000000399,0.03621200561459474,0.878538481774026,0.9774858524741545
ENSMUSG00000000402,-2.4217566316393513,0.5395484286158778,
ENSMUSG00000000409,0.5429505101831263,0.5467037549081617,
ENSMUSG00000000411,-0.08966459199914126,0.9297322774927803,
ENSMUSG00000000416,0.15053655931303203,0.4972351272909885,0.8633079376804527
ENSMUSG00000000420,-1.126675838362184,1.592572459256865e-06,0.00013866177496953418
ENSMUSG00000000435,-0.9599977791574656,0.8282856423440548,
ENSMUSG00000000439,0.06683136531684435,0.7575503338539209,0.9501619676759282
ENSMUSG00000000440,1.614488533057357,0.03986466085452303,0.29033756542015804
ENSMUSG00000000441,0.092705552225414,0.5753754648977718,0.8951000175070858
ENSMUSG00000000486,0.4919531271012657,0.2818698074430893,0.7311307480993106
ENSMUSG00000000489,0.33572883922830205,0.08178713966973172,0.4271167771773079
ENSMUSG00000000530,0.1402429734568085,0.4089645740614386,0.8191801940147252
