gene,SRR5292044,SRR5292039,SRR5292051,SRR5292041,SRR5292047,SRR5292053,SRR5292052,SRR5292042,SRR5292046,SRR5292049,SRR5292045,SRR5292050,SRR5292043,SRR5292040,SRR5292054,SRR5292048
0610009B22Rik,26.52109700797188,31.323512685617157,18.346143809056333,21.242475617419796,20.67579242815763,17.688222872557898,20.855274820383944,24.587862421250236,23.635802823223923,38.45896379455573,26.67946876165803,18.471862629333227,23.821425745966565,19.38079277588103,24.608486600287055,32.85557383586172
0610010F05Rik,52.660595497843445,49.77296028685445,27.813395862126214,39.02500255472955,37.198941556791,28.728523054758465,37.652735987933006,37.58430398676822,24.908499898320592,38.148810860728666,45.25890905677851,31.56315976801205,52.342629878951676,43.96448294126033,37.63138481884604,34.28407704611658
0610010K14Rik,28.57218904276107,35.53039222106412,29.364527554437103,27.39796571110394,28.981079027206153,27.778819813278844,29.112453765106096,33.10580047432621,38.180912252900185,34.94389721118236,36.65262881108238,31.266593166164952,22.070527915508674,28.962795468207002,33.45011983897426,33.467789497399515
0610012G03Rik,8.204368139156768,11.505562102969408,7.434734663145276,8.770567584464992,9.441799502076211,7.953764647391806,8.870569380615796,8.254496669991152,13.817853958192448,13.698421244028586,15.187553374757892,8.812264740599336,8.754489152289453,9.625360170571788,9.79983979657449,9.877079339476442
0610030E20Rik,22.514312567918573,32.59064507581203,15.243880424434561,28.24283690043314,26.402068978027927,20.29990678662685,20.66653930164744,24.587862421250236,19.272269994321043,17.265179983039804,21.363825080492767,22.073028508905068,19.213799876340538,26.578134164686965,22.08230567494785,18.24402671382632
1110004F10Rik,73.02841640144776,70.80735796408926,54.075660031941545,52.221085892823666,64.6938114031148,52.194107312984045,57.092494417793155,65.55299749094036,57.407728780253485,65.08042394804524,67.43273698392504,59.22858705460515,77.36203835102101,51.29189676480372,71.0815046578203,63.9969438194176
1110008P14Rik,7.488870917718678,6.234291359758755,,7.684304626756025,,,,6.322593194035775,5.999857639741458,7.1852096336602775,8.555655067780279,,6.911438804439042,5.289612345989902,5.183026381299396,8.12206110973476
1110012L19Rik,10.875557765858971,14.495994543829298,6.632425167122405,11.466108998039095,10.971720717690413,5.698219448877712,7.832524027565011,11.32797947264743,9.590681530192784,12.457809508720336,12.504418945217331,9.193564657259886,8.155497789238071,9.018355475130322,12.805124000857335,10.856624397936915
1110032A03Rik,21.560316272667787,36.49341283761222,18.987991405874627,29.087708089762334,28.019414263105798,19.389774513542214,25.243375631007716,25.553814159227922,31.862880344384557,45.64417342821601,34.12136991528939,19.23446246265432,22.6234430198638,26.924993990653515,21.995195987867188,28.284363563046174
1110038B12Rik,98.02311933701837,28.78924790522742,20.64609769765523,27.076110019930912,27.800854089446627,23.267729416250656,22.506710609328376,29.637155597042693,12.181529147353867,19.798095609294144,26.071966626667713,20.5901954996696,27.138916372097302,69.84889745401419,24.9569253486097,19.223571772286792
1110038F14Rik,7.4411711029561385,10.03568853034336,6.685912466857263,6.879665398823456,6.77536538343432,,7.832524027565011,7.6398001094598955,7.727089384515513,7.391978256211653,8.859406135275437,8.176764879498423,7.049667580527823,6.416906780381192,8.9722977693082,7.795546090247934
1110051M20Rik,,7.90690611481598,7.06032356500127,6.03479420949426,6.119684862456804,7.281058184677076,6.322639877672961,7.025103548928639,5.999857639741458,6.1513665209034025,5.416894036996982,6.905765157296595,,,7.099439497073964,8.734276771272555
1110059E24Rik,40.40174310387083,50.07707206050121,35.03418132633206,32.66835265406226,38.379166494550525,30.746642442902655,30.858257313418775,35.12551774464319,39.999050931609716,59.03244173841753,49.86580024712175,33.68149263834843,34.741499056980246,34.469195205426,48.30232148622715,40.36541928405868
1110059G10Rik,15.073141464962434,18.75355937488406,10.269561549092757,12.673067839937946,12.982474315354791,12.029574392075169,13.730508988080834,14.664903658388532,14.090574759998876,17.730409383780398,18.174438871793612,13.514963712746098,12.763123658864098,14.568112690595138,16.507285701785474,16.570637238956344
1300002E11Rik,18.364428683577653,20.223432947510105,23.480924583602707,22.8115221118883,19.014735108347928,21.724461648846276,23.403204323326783,17.474945077959987,21.54494334270796,18.660868185261585,20.351321522175574,24.784494582935633,16.49530061326118,23.152893383267276,21.864531457246194,20.448003095362385
1500009L16Rik,,,,,,,,,,7.340286100573809,,,5.252693491373672,,,
1500011B03Rik,5.437778882929486,6.690459020228907,,7.845232472342538,5.9885487582613015,,,6.3665000912165794,6.499845776386579,,6.631898306977613,6.016065351755317,5.989913630513836,6.11340443266046,5.531465129622045,5.877270350762841
1500015A07Rik,11.543355172534524,12.569953310733098,15.190393124699703,12.59260391714469,11.233992926081418,13.533271191084564,12.173440958504655,11.767048444455469,8.272530988128374,13.905189866579962,10.276911116919507,13.006563823865367,14.283640195840686,14.87161503831587,11.280704476945747,8.407761751785731
1600012H06Rik,35.20246329475404,28.68787731401183,15.350855023904275,23.696625262614127,26.79547729061444,19.983339039466976,20.619355421963313,24.719583112792648,21.408582941804745,28.8442228459168,26.476968049994593,21.39516199039743,32.76021993304106,25.2774098173124,22.212970205568844,26.855860352791314
1600014C10Rik,9.396863508220251,15.306959273554016,9.360277453600167,12.029356457591893,11.671113273399763,8.824325952081455,11.324131124190377,13.786765714772454,13.817853958192448,9.873201726828151,11.34003985315256,8.134398222091695,11.058302087102467,8.498065736180497,10.62738182384078,13.468744553831511
1600020E01Rik,9.301463878695174,9.224723800618644,7.381247363410418,5.873866363907746,8.174150494853018,7.043632374307172,6.558559276093594,8.03496218408713,7.27255471483813,9.97658603810384,8.454404711948559,8.176764879498423,7.602582684882947,8.75821060565541,7.75276215017893,5.59156970871187
1700007J10Rik,6.487174807705352,5.626067812465218,6.79288706632698,5.793402441114489,5.507716376211124,5.856503322457648,,7.464172520736679,5.818043771870504,5.220907719422216,7.138150086136209,,6.450676217476439,5.202897389498264,,5.958899105634547
