0610010K14Rik	0.0
1700009N14Rik	2.1247487298181697e-11
2300002M23Rik	3.594481900569493e-10
2310022B05Rik	8.264890788025435e-11
3110040N11Rik	1.110948137897459e-11
3425401B19Rik	1.7899927180715206e-11
4930438A08Rik	1.7520794253135863e-09
4930544G11Rik	1.015613509557715e-06
5730455P16Rik	0.0
A2m	0.010002828023301163
AI597479	1.5478220969449435e-15
ATP6	5.561779745305179e-09
Aaas	7.895164481206569e-13
Aacs	8.424636193333061e-12
Aadat	0.0009
Aak1	0.0
Aanat	0.00099
Aar2	1.8009315894842936e-15
Aars1	6.226530191072439e-13
Aars2	6.226530191072439e-13
Aass	1.6070524013859442e-12
Aatf	4.141177958221129e-11
Abat	1.555004883010395e-08
Abca1	4.5388199155646307e-07
Abca7	2.453032950156778e-06
Abcb1a	0.0
Abcb1b	1.0098003093370651e-06
Abcb4	0.0
Abcb7	0.0
Abcc6	0.0
Abcc8	3.0161049275018165e-08
Abcc9	0.0
Abcd1	0.0
Abcd2	0.0
Abcd3	0.0
Abce1	1.674088811159011e-10
Abcf1	2.37466526107648e-10
Abcf2	6.110639769883911e-11
Abcf3	4.072537712874051e-11
Abcg2	1.0098003093370651e-06
Abcg5	0.0
Abcg8	0.0
Abhd10	0.0
Abhd12	5.328419037949218e-10
Abhd16a	0.0
Abhd17a	0.0
Abhd3	0.0
Abhd5	2.9842051022765145e-08
Abhd6	5.328419037949218e-10
Abi1	1.8729183913286996e-09
Abl1	2.43783092432364e-06
Abraxas1	0.0
Abraxas2	0.0
Abt1	8.142956486217652e-15
Acaa1a	3.775616082262231e-10
Acaa1b	3.775616082262231e-10
Acaa2	3.775616082262231e-10
Acaca	4.433521075906495e-07
Acacb	1.2426333857569356e-10
Acad8	2.5329826965052947e-10
Acad9	3.7623864853876377e-11
Acadl	0.0
Acadm	2.5625553665285815e-10
Acads	1.5553006097106278e-08
Acadsb	2.5625553665285815e-10
Acadvl	3.671671393768115e-11
Acan	0.0010915263049289092
Acap1	0.0
Acat1	1.2426333857569356e-10
Acat2	1.2677344076436926e-10
Acat3	1.2426333857569356e-10
Acbd5	0.0
Acd	0.0
Ace	0.00043331652125931837
Ace2	4.7206520928658116e-07
Ace3	9.976358837137805e-06
Acer1	0.0
Acer2	0.0
Ache	1.3786674283385754e-06
Ackr1	3.734531397021914e-07
Ackr2	1.118795442702333e-06
Acly	1.3537281995466814e-10
